,lasso,elasticnet
567,-20.87241328617221,-20.83522881632198
568,-26.432289139334983,-26.432346707089124
569,-18.594784272820824,-18.514204994540414
570,-4.794404328043108,-4.802632084512776
571,-26.432289139334983,-26.432346707089124
572,-13.744026907735986,-13.723317915437006
573,-13.126784259139185,-13.127022366736101
574,-12.75470268851504,-12.770670467624706
575,-25.445679019668948,-25.558393003927307
576,-12.75676745117404,-12.756404089351777
577,-14.122812052270392,-14.084432872259839
578,-6.888473640133256,-6.875806294961553
579,-18.502106930536442,-18.49098503114063
580,-19.595673348032182,-19.569262212277263
581,-27.686828291870654,-27.700006391242113
582,-18.009135790892916,-17.974349901154937
583,-2.1156865012503885,-2.10085374074358
584,-2.868508267065098,-2.8593134971690852
585,-2.9531642374369427,-2.9461030750111754
586,-26.432289139334987,-26.432346707089124
587,-14.598100346515043,-14.57983222463194
588,-11.133357268705172,-11.201916745720165
589,-32.56259129925698,-32.591988427735366
590,-13.18810145844162,-13.176549176086217
591,-25.702000654911348,-25.67551630175873
592,-11.710443848222774,-11.721249618792257
593,-3.3937526473318274,-3.389309475535546
594,-9.680056862383207,-9.744363841673621
595,-20.624362201680828,-20.57951484575563
596,-21.498374844249614,-21.483940592319463
597,-23.09429824147301,-22.99056902947693
598,-8.626366104605466,-8.600043051325764
599,-10.412939605099085,-10.400435772418517
600,-25.44809909523798,-25.416961720511978
601,-6.33512117682552,-6.357286954387731
602,-2.043124240931664,-2.0264626740217886
603,-12.198049800364569,-12.158923883540037
604,-14.618039550304774,-14.62774366200084
605,-12.263796311530513,-12.239768959366081
606,-20.87241328617221,-20.83522881632198
607,-32.642553957134275,-32.682204582517535
608,-19.548430533487707,-19.52613950170015
609,-26.545291209401377,-26.513559293589463
610,-4.024045903651905,-4.0253046495753
611,-30.642855070836802,-30.778764463604524
612,-15.128520436820418,-15.211118673602568
613,-33.00238591758207,-33.08817727903728
614,-17.63911898292777,-17.60373162377061
615,-9.195178958040309,-9.196160509001569
616,-20.87341601007031,-20.88627445785268
617,-32.91074799032031,-33.05734943268624
618,-20.15276185468088,-20.13437528829137
619,-2.424070714531711,-2.4108553616282333
620,-23.760067765555593,-23.725655882664768
621,-26.432289139334983,-26.432346707089124
622,-13.44955825255986,-13.454517933543318
623,-24.912658652307112,-24.86478250820695
624,-17.539242794667057,-17.56080798314464
625,-24.004955203045743,-24.03674218770232
626,-25.848058351796073,-25.826882382824813
627,-32.71985412425718,-32.842838255752696
628,-7.5812644415190755,-7.573920139153094
629,-18.733621276061733,-18.729651403669227
630,-14.093273553243025,-14.173756323784186
631,-20.34523264616653,-20.33273681858229
632,-19.040382127775153,-18.983287974482856
633,-26.432289139334983,-26.432346707089124
634,-16.634657896931188,-16.648991067843287
635,-13.347580327773331,-13.326226903953799
636,-31.030015759276484,-31.052077997573804
637,-26.432289139334983,-26.432346707089124
638,-7.757321344932359,-7.7923529881184574
639,-27.946485078457407,-27.90066422946457
640,-12.633813119495658,-12.610387236750409
641,-19.056395269482405,-19.05714697047644
642,-5.884336314089882,-5.904475744947759
643,-26.432289139334983,-26.432346707089124
644,-9.337887029133805,-9.337418434917439
645,-17.82746588202589,-17.799587700352905
646,-12.82648662021308,-12.846201341160635
647,-19.317852063600647,-19.33511572793354
648,-0.043583737863200044,-0.046201874661059184
649,-7.588306036990554,-7.579124049234663
650,-13.875763691677111,-13.879764543224189
651,-10.898476918128422,-10.86106142634763
652,-23.013981243683585,-23.0008044596832
653,-14.09163117429018,-14.054255338022966
654,-25.458571160103464,-25.42323949998194
655,-13.094693703807456,-13.117291805948277
656,-29.058864805363132,-29.051751543273088
657,-18.732685400423506,-18.68200880490724
658,-22.0667708405585,-22.027923907421048
659,-31.03611021196101,-31.16366659950998
660,-33.00238591758207,-33.08817727903728
661,-17.79793912293559,-17.77263600624221
662,-15.664606285258627,-15.660732474693631
663,-7.088293301875547,-7.057285009167398
664,-26.830173843281393,-26.81686455071927
665,-12.945422816531725,-12.862014039847464
666,-10.45125675140678,-10.456333043988295
667,-11.39597148056926,-11.408306467885852
668,-33.00238591758207,-33.08817727903728
669,-14.337907270892375,-14.329919993296802
670,-1.7129706304782912,-1.6933223447628696
671,-8.395804956441285,-8.390644534934404
672,-12.342325630082073,-12.354957990949815
673,-33.00238591758207,-33.08817727903728
674,-32.69791272028008,-32.74466192044365
675,-8.909676820960248,-8.919819967755895
676,-5.757352358532116,-5.774291378184621
677,-26.432289139334983,-26.432346707089124
678,-25.216584749712688,-25.17829534798339
679,-8.033253715820685,-8.02872675126199
680,-21.865821818826742,-21.79494793505041
681,-19.287909615007692,-19.295813343005037
682,-10.955825125904708,-10.961721604057834
683,-26.432289139334983,-26.432346707089124
684,-7.984752616953213,-7.97621506071787
685,-23.341330077420714,-23.319713444877447
686,-18.494309455939884,-18.579855856362272
687,-23.128709080135167,-23.09408614262574
688,-30.635541727615365,-30.64485814128111
689,-9.800408039090238,-9.800691281647847
690,-12.800756614754723,-12.903140278672446
691,-18.733621276061733,-18.729651403669227
692,-12.433993457753365,-12.428908522544564
693,-8.8227474271703,-8.8182810088394
694,-24.213684979602792,-24.18796525495202
695,-7.258490448098401,-7.24642457234588
696,-26.432289139334983,-26.432346707089124
697,-7.802398531714438,-7.773565528740925
698,-6.578976545625403,-6.606496522672275
699,-15.919034997216238,-15.78409214978942
700,-26.588358270148237,-26.56217538904847
701,-23.623352459600873,-23.61779958661765
702,-32.92602097819727,-33.06248740707807
703,-23.250399087314253,-23.131005459496006
704,-27.657362878053878,-27.649842370713273
705,-24.816251370501035,-24.956260269353358
706,-22.38169154822931,-22.49407684401652
707,-21.130460535597972,-21.255773383518825
708,-22.38169154822931,-22.49407684401652
709,-19.248416051247098,-19.317308863303676
710,-19.303859772181607,-19.39880053797664
711,-19.20754415334296,-19.24306879410172
712,-19.334315408874406,-19.37939636436071
713,-18.675488348557575,-18.764039241311906
714,-14.438293471487766,-14.498402845190244
715,-15.13937736683492,-15.141000730482967
716,-19.263673035665658,-19.340807252607263
717,-15.719908998462609,-15.71779190352373
718,-16.899483663395973,-16.899217842189277
719,-15.734180515448319,-15.788668392481206
720,-12.618663648810998,-12.642848395238937
721,-17.52854533037386,-17.59311509535761
722,-19.263673035665658,-19.340807252607263
723,-18.675488348557575,-18.764039241311906
724,-33.00238591758207,-33.08817727903728
725,-31.25565372723619,-31.317720824384686
726,-31.25565372723619,-31.317720824384686
727,-30.251267824903202,-30.316454979544535
728,-29.29397799563238,-29.31338511738232
729,-29.29017360816319,-29.273727676077744
730,-29.599495779043504,-29.643081527221703
731,-31.25565372723619,-31.317720824384686
732,-30.251267824903202,-30.316454979544535
733,-29.014876821667144,-29.075372867661777
734,-31.091469340676046,-31.079261324668785
735,-30.251267824903202,-30.316454979544535
736,-31.25565372723619,-31.317720824384686
737,-26.95737732070982,-26.929764312150255
738,-26.50417828329424,-26.467982176993637
739,-28.67896016939202,-28.777281661769553
740,-29.198696879474866,-29.215963808584295
741,-29.221962337169938,-29.302243778399685
742,-27.320665579916934,-27.36584487893621
743,-27.646799180786427,-27.647065756438113
744,-29.74678940899328,-29.805752219609065
745,-25.693602982723785,-25.620581201043088
746,-26.64695240759033,-26.622546945252566
747,-26.378539417404824,-26.324752800695684
748,-22.860146972711135,-22.779914384448322
749,-20.88620270697811,-20.840954120572924
750,-20.431824250533232,-20.3784129940021
751,-18.870783137782805,-18.835323455847874
752,-20.651109433928674,-20.61074328738198
753,-19.042359623127926,-19.006056394461893
754,-18.090277054050393,-17.99835425104532
755,-19.24394088905376,-19.20378445841009
756,-19.791380693605618,-19.752519459899407
757,-19.389320594014702,-19.353910997638057
758,-18.953472651787926,-18.914357715046542
759,-18.436990773776515,-18.3657183701995
760,-18.386586295479233,-18.308964783182127
761,-20.431824250533232,-20.3784129940021
762,-15.529404948158627,-15.406088160891596
763,-18.587211617187748,-18.514474148928954
764,-16.78359307971986,-16.74973275291447
765,-15.05915105168651,-14.906108393098659
766,-18.262983296222497,-18.19416781617198
767,-17.978397873173403,-17.905948145041855
768,-19.80844106007692,-19.76671977669265
769,-16.573416891077784,-16.501455468988784
770,-18.306832235941496,-18.234593139370187
771,-17.65926536566726,-17.54447365016844
772,-17.48497849570441,-17.38933925951496
773,-18.35128178085381,-18.23204364245711
774,-3.7742040670974593,-3.777181686680423
775,-2.8398441846003597,-2.8128238213840935
776,-2.5817830367143935,-2.5555861391702273
777,-3.0307635990085795,-3.0260227599475304
778,-13.79543696322296,-13.635346275552964
779,-15.06317732708577,-14.916279450232032
780,-7.729742992607693,-7.795508186005962
781,-9.692272810376153,-9.566191368769973
782,-2.2108434113065223,-2.1157541883195936
783,-0.7224605025429403,-0.7454641737432294
784,-0.04731743799477582,-0.05642505140658768
785,2.4155232796111337,2.4366696730732245
786,-3.5277062153260177,-3.587764126395884
787,-3.26259266234871,-3.1870007021475986
788,-3.496070195987041,-3.4546594217335977
789,-2.7611633890380847,-2.719044970411997
790,-4.018563069773702,-3.9577868425620024
791,-2.6521621939875195,-2.607479634379504
792,-2.95538076596338,-2.910458481682087
793,-3.0880025958302753,-3.077491120320394
794,-3.0549983254530235,-3.032614602758303
795,-3.256986521744738,-3.2693091242221732
796,-3.455851627397669,-3.494921198391056
797,-3.468551638524776,-3.4683132916122523
798,-14.165204295880104,-14.042432406206101
799,-10.968554083432062,-10.803813820638828
800,-14.929833503024295,-14.832411290475862
801,-14.382448699620921,-14.277392346105378
802,-14.402487470262514,-14.287228030068915
803,-13.506531225092562,-13.402801559832364
804,-14.116060266135186,-13.932080196856443
805,-13.129248926521859,-12.977592103701603
806,-9.316030265622537,-9.328733169894793
807,-7.412831821402445,-7.46005447335483
808,-7.565889608856344,-7.650227280931337
809,-5.743982075368163,-5.8289753606857
810,-10.329832267873973,-10.228521015731674
811,-11.51066828612754,-11.396427913168665
812,-8.551775502872236,-8.42669344325663
813,-9.266836056099743,-9.10365008258441
814,-0.5122374565903378,-0.5013780323394011
815,2.5754760373366237,2.5921671065955945
816,3.1113790061573905,3.1114977624803135
817,-2.796032139374284,-2.7619767229689134
818,-2.575936084577061,-2.530885282557827
819,-3.4438954924782386,-3.4468652452827504
820,-2.695660520939274,-2.6630208187981412
821,-1.1822530439430685,-1.1052734487105311
822,-1.3830452069225156,-1.2793796227513283
823,-3.2579286099753073,-3.2595061446905924
824,-3.170059491675048,-3.14521262537444
825,-2.908197807887006,-2.9137934282727946
826,-12.728456197064741,-12.568462273430479
827,-13.294718799523082,-13.133290030012109
828,-12.810847325424255,-12.661552150998562
829,-12.811304527909451,-12.677527475564181
830,-13.931747133533854,-13.706703900876022
831,-15.282054711142335,-15.132556398019709
832,-14.540389473248021,-14.307114047317285
833,-13.809133508103496,-13.70296247483616
834,-9.924743427949926,-10.012660070269877
835,-9.892738254235931,-9.870137233637474
836,-6.306764597533474,-6.31789396285899
837,-9.040256687186613,-9.147727119498171
838,-11.546460429047366,-11.511118390101597
839,-11.164803548544251,-11.034353683594562
840,-7.108466433576858,-7.066301928200166
841,-11.421075462095894,-11.338320924007691
842,0.37763285958801895,0.372626245227769
843,0.2369590090955941,0.20693313955090759
844,-1.326788449668183,-1.3378441444243845
845,-1.5636607323974019,-1.5067288454494425
846,0.08508455280083177,0.06754236708182053
847,-0.36299142478589047,-0.3641353425177177
848,0.9220808039541147,0.972223995165003
849,3.0043576412895576,3.0307286076051945
850,1.8671207816107278,1.87160780458788
851,-1.616151651709448,-1.5566130475471238
852,-1.856750801552562,-1.77938979029295
853,-2.968992109396943,-2.9749749924266014
854,-12.80682991678811,-12.65325138826822
